source,title,link,published,sent_compound,sent_label
NYTimes Home,Big Lenders’ Risky Loans Are Rattling Wall Street,https://www.nytimes.com/2026/03/03/business/private-credit-crisis-blue-owl-capital.html,2026-03-03 19:37:30+00:00,-0.2023,negative
NYTimes Home,"MrBeast Is Getting Into Financial Services With His Step App. Parents, Pay Attention.",https://www.nytimes.com/2026/03/03/business/mrbeast-step-banking-crypto.html,2026-03-03 15:46:31+00:00,-0.1027,negative
NYTimes Home,The Psychoanalyst Stephen Grosz Brings His Readers Into the Room,https://www.nytimes.com/2026/03/03/magazine/stephen-grosz-psychoanalysis-therapy-love.html,2026-03-03 18:33:41+00:00,0.0,neutral
NYTimes Home,"As Trump Bashes Spain on Military Spending, German Chancellor Merz Piles On",https://www.nytimes.com/2026/03/03/us/politics/trump-spain-germany-trade-military.html,2026-03-03 19:34:00+00:00,0.0,neutral
NYTimes Home,"In a World Order Defined by Trump, the Key to Europe’s Defense Is Germany",https://www.nytimes.com/2026/03/03/magazine/germany-europe-iran-merz-trump-defense.html,2026-03-03 17:27:31+00:00,0.128,positive
NYTimes Home,"In South Carolina Measles Outbreak, Vaccine Skepticism Led to Largest Outbreak Since 2000",https://www.nytimes.com/2026/03/03/us/politics/south-carolina-measles-outbreak-vaccines.html,2026-03-03 21:01:33+00:00,-0.25,negative
NYTimes Home,Can Owning a Pet Help You Live Longer?,https://www.nytimes.com/2026/03/03/well/pet-longevity-health-benefits.html,2026-03-03 10:00:07+00:00,0.4019,positive
NYTimes Home,JD Vance Has His Reasons,https://www.nytimes.com/2026/03/03/opinion/jd-vance-has-his-reasons.html,2026-03-03 19:56:41+00:00,0.0,neutral
NYTimes Home,The Great Lie of War,https://www.nytimes.com/2026/03/03/opinion/ezra-klein-podcast-ben-rhodes.html,2026-03-03 20:03:29+00:00,0.0516,positive
NYTimes Home,Austin Bar Shooting Victim Jorge Pederson Honored,https://www.nytimes.com/2026/03/03/us/jorge-pederson-austin-bar-shooting.html,2026-03-03 20:18:27+00:00,0.4019,positive
NYTimes Home,Judge Vacates Punishments of Columbia Students Who Occupied a Building,https://www.nytimes.com/2026/03/03/nyregion/columbia-protesters-discipline.html,2026-03-03 18:40:08+00:00,-0.4215,negative
NYTimes Home,U.S. Hunts for Militants as the Nigerian Military Is Accused of Inaction,https://www.nytimes.com/2026/03/03/world/africa/nigeria-security-forces-us-intervention.html,2026-03-03 05:01:12+00:00,-0.4939,negative
NYTimes Home,"Target to Spend Billions to Refresh Stores, Hire Staff and Raise Pay",https://www.nytimes.com/2026/03/03/business/target-stores-investment-payrolls.html,2026-03-03 20:05:08+00:00,-0.1027,negative
WSJ World,Palestinians Stream Back to Northern Gaza on Foot,https://www.wsj.com/articles/palestinians-flock-back-to-northern-gaza-on-foot-after-hostage-release-breakthrough-3f60e2db,2025-01-27 19:23:00+00:00,0.0,neutral
WSJ World,"Leading China Property Developer Reports Huge loss, in Sign of Widening Real-Estate Woes",https://www.wsj.com/articles/even-chinas-property-stalwart-isnt-immune-from-the-crisis-19799863,2025-01-27 17:32:00+00:00,-0.4404,negative
WSJ World,Freed Israeli Hostages Still Had Shrapnel in Their Bodies From Oct. 7 Attack,https://www.wsj.com/articles/freed-israeli-hostages-still-had-shrapnel-in-their-bodies-from-oct-7-attack-3de8cd1e,2025-01-27 17:12:00+00:00,-0.1027,negative
WSJ World,Suspected Sabotage of Deep-Sea Cable Triggers First NATO-Led Response,https://www.wsj.com/articles/suspected-sabotage-of-deep-sea-cable-triggers-first-nato-led-response-337119ba,2025-01-27 16:22:00+00:00,-0.6486,negative
WSJ World,Rwanda-Backed Rebels Enter Congo's Safe-Haven City,https://www.wsj.com/articles/rwanda-backed-rebels-enter-congo-safe-haven-city-aid-hub-09fdccb8,2025-01-27 15:07:00+00:00,-0.2023,negative
WSJ World,Cocaine-Funded Gangs Shake Colombia Years After Peace Pact,https://www.wsj.com/articles/cocaine-funded-gangs-shake-colombia-years-after-peace-pact-a45a28da,2025-01-27 12:00:00+00:00,0.4215,positive
WSJ World,"Italy Supports Saudi Arabia Joining Fighter-Jet Program, PM Meloni Says",https://www.wsj.com/articles/italy-supports-saudi-arabia-joining-gcap-fighter-jet-program-pm-meloni-says-bbd9cec1,2025-01-27 10:34:00+00:00,0.3612,positive
WSJ World,Shippers Wary of Red Sea Routes Despite Houthi Pledge to End Targeting,https://www.wsj.com/articles/shippers-wary-of-red-sea-routes-despite-houthi-pledge-to-end-targeting-4dde35c2,2025-01-27 06:05:00+00:00,0.0,neutral
WSJ World,Kim Jong Un Is Doing Everything He Can to Keep North Korea's Youth in Line,https://www.wsj.com/articles/kim-jong-un-is-doing-everything-he-can-to-keep-north-koreas-youth-in-line-0866a1de,2025-01-27 06:05:00+00:00,0.0,neutral
